File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Projected.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.1.mm2,Volume.Diameter.Range.1.mm3
POEM2021_T001_L030_2023.05.25_090148_032_IAC.png,Full,177,180,257.195304,0.699857,21.727036,0.093462,0.081081,0.410997,499.295628,2.177815,75.555384,0.512,257.195304,24.049638,75.555384,2.177815
POEM2021_T001_L030_2023.06.19_092124_033_IAC.png,Full,153,119,184.18373,0.646094,14.155131,0.084256,0.076444,0.310811,362.556505,1.263728,48.779696,0.452,184.18373,15.526475,48.779696,1.263728
POEM2021_T001_L032_2022.09.01_093429_026_IAC.png,Full,97,134,217.969826,0.614764,15.674397,0.079747,0.076444,0.230127,420.657731,1.227919,54.336576,0.499,217.969826,17.295482,54.336576,1.227919
POEM2021_T001_L032_2022.10.12_091944_027_IAC.png,Full,91,127,225.865943,0.56228,18.983017,0.095047,0.072772,0.394678,434.409192,2.403682,66.383721,0.474,225.865943,21.126313,66.383721,2.403682
POEM2021_T001_L032_2022.11.08_111220_028_IAC.png,Full,105,173,265.866925,0.650701,26.103634,0.114628,0.086529,0.41739,496.826761,3.87825,93.936961,0.531,265.866925,29.901063,93.936961,3.87825
POEM2021_T001_L032_2023.02.15_100321_029_IAC.png,Full,118,104,235.75074,0.441144,17.335007,0.080602,0.072772,0.28217,462.721063,1.400294,59.30212,0.487,235.75074,18.875867,59.30212,1.400294
POEM2021_T001_L032_2023.03.29_101931_030_ABC.png,Full,110,128,236.288442,0.541711,16.952703,0.079331,0.072772,0.296375,459.971202,1.375262,58.517695,0.607,236.288442,18.626176,58.517695,1.375262
POEM2021_T001_L032_2023.04.21_090805_031_IAC.png,Full,117,145,245.461841,0.590723,18.295654,0.082968,0.076444,0.298523,473.552931,1.533144,63.734966,0.483,245.461841,20.285526,63.734966,1.533144
POEM2021_T001_L032_2023.05.25_090157_032_IAC.png,Full,142,163,235.81315,0.691225,19.251415,0.090583,0.081081,0.354714,454.986074,1.86169,67.082791,0.488,235.81315,21.351369,67.082791,1.86169
POEM2021_T001_L032_2023.06.19_092133_033_IAC.png,Full,136,135,235.350929,0.573612,18.449005,0.08596,0.078797,0.283784,458.05191,1.632282,63.605782,0.503,235.350929,20.245765,63.605782,1.632282
POEM2021_T001_L034_2022.09.01_093437_026_IAC.png,Full,64,36,136.988824,0.262795,10.815422,0.083765,0.076444,0.311104,275.030694,0.904839,36.138813,0.436,136.988824,11.502014,36.138813,0.904839
POEM2021_T001_L034_2022.10.12_091954_027_IAC.png,Full,71,97,175.972659,0.551222,23.213112,0.150828,0.095555,0.468317,337.104776,4.572893,81.88726,0.481,175.972659,26.065137,81.88726,4.572893
POEM2021_T001_L034_2022.11.08_111229_028_IAC.png,Full,78,117,193.273869,0.605359,35.734478,0.225004,0.135135,1.294832,355.402829,15.705795,133.761893,0.459,193.273869,42.576571,133.761893,15.705795
POEM2021_T001_L034_2023.02.15_100330_029_IAC.png,Full,77,100,181.188231,0.551912,19.821996,0.121638,0.102916,0.411885,350.846613,2.717648,68.64721,0.415,181.188231,21.850698,68.64721,2.717648
POEM2021_T001_L034_2023.03.29_101941_030_ABC.png,Full,101,119,193.037814,0.61646,20.066335,0.116263,0.094595,0.393983,372.624378,2.698112,69.826895,0.432,193.037814,22.225041,69.826895,2.698112
POEM2021_T001_L034_2023.04.21_090814_031_IAC.png,Full,93,136,193.635523,0.70235,19.924032,0.117165,0.095555,0.411663,368.016475,2.699797,70.577135,0.461,193.635523,22.463911,70.577135,2.699797
POEM2021_T001_L034_2023.05.25_090207_032_IAC.png,Full,119,82,139.258154,0.588834,12.09989,0.093638,0.078797,0.329907,279.74859,1.206899,40.847834,0.465,139.258154,13.001297,40.847834,1.206899
